ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13127.369140625;234.63336181640625;15869.5302734375;-2.024200439453125;113.5;4.17805290222168;;6.4599609375;7730719;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_custom_03.obj;13251.625;98.25144958496094;16179.4521484375;15.272079467773438;5.5;-0.58624267578125;;1.9697265625;6343547;m2;521669;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_bamboo_01.obj;13162.953125;128.7249298095703;16374.4111328125;0;0;0;;1;6598429;m2;531587;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_custom_04.obj;13119.849609375;113.35093688964844;16192.0341796875;14.572354316711426;11.98333740234375;-0.38519287109375;;1.529296875;6347321;m2;521672;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13139.5361328125;240.5525665283203;16015.771484375;0;304.5;0;;4.859375;7730749;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy03.obj;13090.421875;88.67137145996094;16531.40625;0;143.003662109375;0;;3.236328125;6404248;m2;516683;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13220.4775390625;141.3634796142578;16230.4404296875;0;8.5;0;;3.669921875;7730746;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;12798.849609375;269.1769714355469;16523.85546875;0;230.5;0;;4.419921875;7730760;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy05_gold.obj;13141.5966796875;78.99779510498047;16534.361328125;0;41;0;;1.9296875;6337350;m2;519861;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_01.obj;13253.9072265625;253.279296875;15946.1884765625;1.3729788064956665;137.5;-4.045379638671875;;5.0693359375;7730723;m2;516927;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_bamboo_02.obj;13297.201171875;71.8046875;16394.71875;0;0;0;;1;6622686;m2;532255;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_03.obj;13032.1083984375;142.7865447998047;16369.7177734375;0;73;0;;4.3291015625;7730748;m2;530268;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy03.obj;13353.7939453125;86.58658599853516;16570.5234375;0;114.5;0;;2.5595703125;6335071;m2;516683;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy05.obj;13177.0830078125;82.04300689697266;16516.78125;-3.8218994140625;253;0.9910368919372559;;1.7998046875;6404213;m2;516687;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_03.obj;13121.59765625;150.4042510986328;16220.2109375;0;327;0;;4.2890625;7730747;m2;530268;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03_gold.obj;13086.818359375;79.6176528930664;16535.916015625;-0.62786865234375;275.095458984375;2.4709908962249756;;1.697265625;6404254;m2;519875;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy03.obj;13219.03515625;82.77721405029297;16518.259765625;0;78.5;0;;2.5595703125;6337313;m2;516683;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk01.obj;13308.611328125;78.975830078125;16548.203125;0;307.5528564453125;0;;3.1240234375;6404060;m2;516697;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboo04.obj;13324.9013671875;81.35181427001953;16513.162109375;-3.384368896484375;337.570068359375;2.965811014175415;;1.767578125;6404072;m2;516279;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13193.63671875;80.05155181884766;16343.978515625;0;353.5;0;;0.619140625;6598431;m2;195676;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13073.6396484375;80.16190338134766;16396.66796875;0;27.5;0;;0.5390625;6615910;m2;195676;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13072.046875;247.027099609375;16074.919921875;0;254;0;;2.619140625;7730753;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13388.9765625;178.7244415283203;16246.2734375;0;36;0;;3.01953125;7730744;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy05_gold.obj;13193.23046875;77.7909927368164;16564.810546875;0;278;0;;1.7998046875;6404183;m2;519861;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03_gold.obj;13098.5693359375;79.4781265258789;16530.8046875;7.336493015289307;164.93212890625;3.760575771331787;;1.4833984375;6404252;m2;519875;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03_gold.obj;13083.7158203125;80.4056167602539;16522.4453125;-10.31011962890625;351.6612548828125;16.99649429321289;;1.4580078125;6404253;m2;519875;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03.obj;13334.3037109375;81.2165756225586;16513.13671875;0.830826997756958;351.6361083984375;0.228411003947258;;1.65234375;6404075;m2;516701;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_03.obj;12791.818359375;266.3918151855469;16149.91796875;0;51;0;;3.759765625;7730754;m2;530268;0;
..\..\world\expansion04\doodads\valleyoffourwinds\pinetree\vfw_pinetree02.obj;12888.880859375;208.70736694335938;16261.951171875;-5.27301025390625;246.5;-0.00543212890625;;1.099609375;6527063;m2;519500;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03_gold.obj;13095.3427734375;79.3936538696289;16534.802734375;3.7908759117126465;97.88055419921875;1.370859980583191;;1.3505859375;6404251;m2;519875;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboo03_gold.obj;13310.66015625;79.08628845214844;16546.435546875;1.897016167640686;335.294189453125;-2.324066162109375;;1.2890625;6404045;m2;519849;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk04.obj;13085.396484375;80.1854476928711;16523.19140625;1.3362489938735962;138.20159912109375;-3.38592529296875;;1.7119140625;6404218;m2;516703;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03.obj;13325.3828125;81.8239517211914;16517.994140625;0;291.5574951171875;0;;1.48046875;6404081;m2;516701;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13229.138671875;80.34832000732422;16374.6142578125;0;294;0;;0.439453125;6598432;m2;195676;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboo03_gold.obj;13083.6923828125;79.02415466308594;16543.783203125;3.1408119201660156;270.8363037109375;-4.838409423828125;;1.2294921875;6404249;m2;519849;0;
..\..\world\expansion04\doodads\valleyoffourwinds\pinetree\vfw_pinetree01.obj;12883.3759765625;199.5889434814453;16117.0927734375;0;0;0;;1;6527060;m2;519498;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03.obj;13095.619140625;79.4002914428711;16531.65625;-2.72332763671875;339.0147705078125;-2.198516845703125;;1.4130859375;6404250;m2;516701;0;
..\..\world\expansion04\doodads\turtlezone\bamboo\tu_bamboocanopy01_gold.obj;13237.9306640625;83.7433853149414;16485.6640625;0;6;0;;2.2998046875;6343618;m2;519853;0;
..\..\world\expansion04\doodads\valleyoffourwinds\pinetree\vfw_pinetree02.obj;12928.1748046875;196.7759552001953;16216.93359375;-6.535125732421875;297.5;-0.816009521484375;;0.939453125;6529327;m2;519500;0;
..\..\world\expansion04\doodads\valleyoffourwinds\pinetree\vfw_pinetree02.obj;12947.1416015625;202.7626495361328;16330.6640625;0;24.5;0;;1;6527069;m2;519500;0;
..\..\world\expansion04\doodads\valleyoffourwinds\pinetree\vfw_pinetree02.obj;12858.974609375;200.3085479736328;16087.3828125;-2.08294677734375;216;3.2075858116149902;;0.939453125;6333554;m2;519500;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk04.obj;13086.1181640625;80.0651626586914;16529.1875;4.856314182281494;270.36016845703125;1.2908200025558472;;1.5439453125;6404219;m2;516703;0;
..\..\world\expansion04\doodads\valleyoffourwinds\cascadetreegold\vfw_cascadetreegold02.obj;13139.59765625;82.52870178222656;16404.1171875;0;34;0;;0.689453125;6347024;m2;522675;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13085.4658203125;80.24613189697266;16387.728515625;0;70.5;0;;0.3994140625;6598430;m2;195676;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_bamboo_02b.obj;13298.4814453125;33.767208099365234;16448.4140625;0;357.5;0;;1;7884587;m2;631722;0;
..\..\world\expansion04\doodads\turtlezone\redtree\tu_redtree02.obj;13355.7275390625;189.06236267089844;16143.23046875;0;28;0;;1.1494140625;6403854;m2;516309;0;
..\..\world\expansion04\doodads\turtlezone\mountaintree\tu_mountaintree08.obj;13264.9091796875;125.99623107910156;16289.04296875;0;12;0;;1.349609375;6615952;m2;514951;0;
..\..\world\expansion04\doodads\turtlezone\mountaintreewhite\tu_mountaintreewhite04.obj;13166.11328125;289.9068908691406;16112.1611328125;0;29;0;;1.2890625;6636380;m2;530141;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk04.obj;13091.9267578125;79.61054229736328;16526.833984375;-1.38873291015625;328.5455322265625;0.7559369802474976;;1.306640625;6404221;m2;516703;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_bamboo_02a.obj;13302.328125;34.92802810668945;16448.626953125;0;358.5;0;;0.9892578125;7192560;m2;532737;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03_gold.obj;13175.8681640625;78.78628540039062;16520;3.6522908210754395;0;-3.451202392578125;;0.9599609375;6404209;m2;519875;0;
..\..\world\expansion04\doodads\turtlezone\redtree\tu_redtree02.obj;13333.556640625;189.0602569580078;16092.0205078125;0;65.5;0;;1;6403853;m2;516309;0;
..\..\world\expansion04\doodads\turtlezone\bambootrunk\tu_bambootrunk03.obj;13235.49609375;83.87065124511719;16485.05078125;0;293;0;;1;6343626;m2;516701;0;
