ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set2_rapids_long.obj;12895.5263671875;-12.345784187316895;15539.7666015625;0;135;0;;4.26953125;6971214;m2;243757;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_custom_02.obj;13231.3349609375;61.27629470825195;15877.2109375;15.711337089538574;131;-0.2317199558019638;;1.2998046875;6522709;m2;517306;0;
..\..\world\expansion04\doodads\turtlezone\waterfalls\tu_waterfalls_custom_01.obj;13196.98046875;71.11455535888672;15815.51171875;9.118525505065918;105;-2.234100341796875;;1.26953125;6522426;m2;517304;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13127.369140625;234.63336181640625;15869.5302734375;-2.024200439453125;113.5;4.17805290222168;;6.4599609375;7730719;m2;620849;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13107.3271484375;208.9213409423828;15663.8291015625;0.025726422667503357;108;-3.535491943359375;;5.7197265625;7730720;m2;620849;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13186.3876953125;74.84671783447266;15820.6484375;0;112;0;;1.2099609375;6522432;m2;195676;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_high_ripples.obj;13229.7158203125;74.78839874267578;15886.57421875;0;199;0;;1.1591796875;6522708;m2;195676;0;
..\..\world\generic\pvp\collisionwall\collisionwallpvp01.obj;13065.388671875;-81.54092407226562;15531.0546875;12.326519966125488;291.5;22.37807273864746;;16.26953125;7205887;m2;200293;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_03.obj;13028.09375;234.28399658203125;15771.3017578125;0;343.5;0;;5.9697265625;7730752;m2;530268;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_01.obj;13178.208984375;158.79684448242188;15680.4853515625;0;87.5;0;;5.5498046875;7730721;m2;516927;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_04.obj;13139.5361328125;240.5525665283203;16015.771484375;0;304.5;0;;4.859375;7730749;m2;620849;0;
..\..\world\generic\pvp\collisionwall\collisionwallpvp01.obj;13096.201171875;-13.465576171875;15524.0361328125;8.796966552734375;291.5;22.58360481262207;;12.44921875;7205889;m2;200293;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_03.obj;13281.74609375;168.19845581054688;15919.279296875;0;153;0;;5.19921875;7730718;m2;530268;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_01.obj;13253.9072265625;253.279296875;15946.1884765625;1.3729788064956665;137.5;-4.045379638671875;;5.0693359375;7730723;m2;516927;0;
..\..\world\generic\pvp\collisionwall\collisionwallpvp01.obj;13073.482421875;-66.90798950195312;15484.29296875;12.326519966125488;291.5;22.37807273864746;;10.189453125;7205888;m2;200293;0;
..\..\world\expansion04\doodads\turtlezone\clouds\tu_clouds_01.obj;13304.923828125;152.4477081298828;15933.833984375;0;151;0;;4.3291015625;7730717;m2;516927;0;
