ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\..\expansion04\doodads\pandaren\lamps_outdoors_wood\pa_lamps_outdoors_wood_lamponly_01.obj;7.246956825256348;-187.0449981689453;34.61621856689453;0.8437204957008362;0;0;-0.5367828011512756;4.126307010650635;Set_$DefaultGlobal;523779
..\..\..\..\expansion04\doodads\pandaren\lamps_outdoors_wood\pa_lamps_outdoors_wood_lamponly_01.obj;-1.4506293535232544;-164.9506378173828;35.03260040283203;0.711615800857544;0;0;-0.7025688290596008;3.5272672176361084;Set_$DefaultGlobal;523779
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_fancy_01.obj;-7.395674228668213;27.893205642700195;13.632671356201172;0.9375089406967163;0;0;-0.3479612171649933;1.0967499017715454;Set_$DefaultGlobal;526372
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_01.obj;-6.270101070404053;15.2345552444458;26.810970306396484;0.9677925705909729;0;0;-0.2517490088939667;1.303853154182434;Set_$DefaultGlobal;526368
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_fancy_01.obj;2.3089871406555176;25.01841926574707;13.585073471069336;0.9375089406967163;0;0;-0.3479612171649933;1.0967499017715454;Set_$DefaultGlobal;526372
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_fancy_01.obj;-14.27365493774414;5.152052402496338;13.604818344116211;0.9375089406967163;0;0;-0.3479612171649933;1.0967499017715454;Set_$DefaultGlobal;526372
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_fancy_01.obj;-4.763848304748535;2.3887126445770264;13.587444305419922;0.9375089406967163;0;0;-0.3479612171649933;1.0967499017715454;Set_$DefaultGlobal;526372
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_fancy_01.obj;-67.78559112548828;154.46148681640625;-0.8388663530349731;0.9798099398612976;0;0;0.1999310702085495;1;Set_$DefaultGlobal;526372
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_fancy_01.obj;-62.2752685546875;138.71722412109375;-1.162973165512085;0.9798099398612976;0;0;0.1999310702085495;1;Set_$DefaultGlobal;526372
..\..\..\..\expansion04\doodads\pandaren\lantern_paper\pa_lantern_paper_round_red_01.obj;-58.33713150024414;149.9294891357422;11.053173065185547;0.9798099398612976;0;0;0.19993096590042114;1.188833475112915;Set_$DefaultGlobal;526368
