ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\..\expansion04\doodads\pandaren\inn\pa_inntable_01.obj;-1.0285919904708862;0.019394662231206894;0.755009114742279;-0.00436335988342762;0;0;-0.9999904632568359;1;Set_ScribeHouse001;528526
..\..\..\..\expansion04\doodads\pandaren\scroll\pa_scroll_huge_09.obj;-0.7147954106330872;-0.5984062552452087;2.0797712802886963;0.9945219159126282;0;0;0.10452835261821747;0.6299998164176941;Set_ScribeHouse001;535177
..\..\..\..\expansion04\doodads\pandaren\shrine_props\pa_candle_01.obj;-1.8576287031173706;-0.6014775037765503;2.0663180351257324;0.08286385983228683;0;0;-0.9965608716011047;1.1700001955032349;Set_ScribeHouse001;528754
..\..\..\..\expansion04\doodads\pandaren\shrine_props\pa_candle_01.obj;-1.7565879821777344;-0.7222194671630859;2.0663180351257324;0.7489925026893616;0;0;-0.6625784635543823;1.559999704360962;Set_ScribeHouse001;528754
..\..\..\..\expansion04\doodads\pandaren\shrine_props\pa_candle_01.obj;-1.8209084272384644;0.8008196353912354;2.0663180351257324;0.5627590417861938;0;0;0.8266209959983826;1.1699999570846558;Set_ScribeHouse001;528754
..\..\..\..\expansion02\doodads\generic\inscription\inscription_quill01.obj;-0.95514976978302;0.7017337083816528;2.0802011489868164;0.9541069865226746;0.017429128289222717;0.0157532449811697;-0.29854288697242737;1.0000001192092896;Set_ScribeHouse001;243425
..\..\..\..\expansion02\doodads\generic\inscription\inscription_inkbottle_black01.obj;-1.3881936073303223;0.6123445630073547;2.0722274780273438;0.6116518974304199;0;0;0.7911270260810852;1;Set_ScribeHouse001;243402
..\..\..\..\expansion02\doodads\generic\inscription\inscription_inkbottle_red01.obj;-1.736392617225647;-0.08364031463861465;2.0721070766448975;0.3553234934806824;0;0;-0.9347434043884277;0.8499999046325684;Set_ScribeHouse001;243419
..\..\..\..\expansion02\doodads\generic\inscription\inscription_inkbottle_black02.obj;-1.2832447290420532;0.6408570408821106;0.7730068564414978;0.5002568960189819;0;0;-0.8658770322799683;1;Set_ScribeHouse001;243403
..\..\..\..\expansion02\doodads\generic\inscription\inscription_inkbottle_black03.obj;-1.1418977975845337;0.33496877551078796;0.7741724848747253;0.955696165561676;0;0;-0.2943550646305084;1;Set_ScribeHouse001;243404
